 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.5885286927223206, MaxAccuracy = 0.6558603644371033 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.3503740727901459, MaxAccuracy = 0.6221945285797119 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.5486284494400024, MaxAccuracy = 0.6371570825576782 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.5399002432823181, MaxAccuracy = 0.6408977508544922 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.3890274167060852, MaxAccuracy = 0.6558603644371033 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.38675957918167114, MaxAccuracy = 0.592334508895874 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.36469221115112305, MaxAccuracy = 0.6318234801292419 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.45993030071258545, MaxAccuracy = 0.6178861856460571 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.36469221115112305, MaxAccuracy = 0.6445993185043335 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.42276424169540405, MaxAccuracy = 0.638792097568512 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.4912891983985901, MaxAccuracy = 0.6295005679130554 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.36120790243148804, MaxAccuracy = 0.6480836272239685 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.4645760655403137, MaxAccuracy = 0.6445993185043335 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.47154471278190613, MaxAccuracy = 0.6445993185043335 
 Window Size = 10, Outer Loop no. = 3, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.469221830368042, MaxAccuracy = 0.6445993185043335 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.43928036093711853, MaxAccuracy = 0.6356821656227112 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.4767616093158722, MaxAccuracy = 0.638680636882782 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.4467765986919403, MaxAccuracy = 0.6371814012527466 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3628185987472534, MaxAccuracy = 0.638680636882782 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.4227886199951172, MaxAccuracy = 0.6161919236183167 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.4707646071910858, MaxAccuracy = 0.638680636882782 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.371814101934433, MaxAccuracy = 0.5982009172439575 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.4677661061286926, MaxAccuracy = 0.6341829299926758 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.5097451210021973, MaxAccuracy = 0.638680636882782 
 Window Size = 10, Outer Loop no. = 4, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.3763118386268616, MaxAccuracy = 0.6326836347579956 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.5464097857475281, MaxAccuracy = 0.7845884561538696 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.7232924699783325, MaxAccuracy = 0.7968476414680481 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.5499124526977539, MaxAccuracy = 0.7968476414680481 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.7513135075569153, MaxAccuracy = 0.7968476414680481 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.5726795196533203, MaxAccuracy = 0.7845884561538696 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.6007004976272583, MaxAccuracy = 0.7845884561538696 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.539404571056366, MaxAccuracy = 0.7985989451408386 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.3537653386592865, MaxAccuracy = 0.7968476414680481 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.5271453857421875, MaxAccuracy = 0.7985989451408386 
 Window Size = 15, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.6812609434127808, MaxAccuracy = 0.7968476414680481 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.5282608866691589, MaxAccuracy = 0.647826075553894 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.4739130437374115, MaxAccuracy = 0.643478274345398 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.5043478012084961, MaxAccuracy = 0.645652174949646 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.47608694434165955, MaxAccuracy = 0.593478262424469 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.4021739065647125, MaxAccuracy = 0.645652174949646 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.469565212726593, MaxAccuracy = 0.584782600402832 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.4217391312122345, MaxAccuracy = 0.6326087117195129 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.44999998807907104, MaxAccuracy = 0.645652174949646 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.36739131808280945, MaxAccuracy = 0.6499999761581421 
 Window Size = 15, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.49130433797836304, MaxAccuracy = 0.645652174949646 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.41443300247192383, MaxAccuracy = 0.7319587469100952 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.6268041133880615, MaxAccuracy = 0.7175257802009583 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.3010309338569641, MaxAccuracy = 0.7113401889801025 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3814432919025421, MaxAccuracy = 0.7443298697471619 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.6412371397018433, MaxAccuracy = 0.7484536170959473 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.45154640078544617, MaxAccuracy = 0.7567010521888733 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.36907216906547546, MaxAccuracy = 0.5793814659118652 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.5876288414001465, MaxAccuracy = 0.7567010521888733 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.41443300247192383, MaxAccuracy = 0.7567010521888733 
 Window Size = 15, Outer Loop no. = 2, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.5051546096801758, MaxAccuracy = 0.7278350591659546 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.31046929955482483, MaxAccuracy = 0.7075812220573425 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.3465704023838043, MaxAccuracy = 0.6787003874778748 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.4530685842037201, MaxAccuracy = 0.6949458718299866 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3032490909099579, MaxAccuracy = 0.7075812220573425 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.29783394932746887, MaxAccuracy = 0.7003610134124756 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.6480144262313843, MaxAccuracy = 0.7003610134124756 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.46570396423339844, MaxAccuracy = 0.6949458718299866 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.4025270640850067, MaxAccuracy = 0.7093862891197205 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.3140794336795807, MaxAccuracy = 0.6967508792877197 
 Window Size = 15, Outer Loop no. = 3, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.3393501937389374, MaxAccuracy = 0.7075812220573425 
